model,displ,fuel,cert_region,veh_class,air_pollution_score,smartway
ACURA MDX,3.7,Gasoline,CA,SUV,7,no
ACURA RDX,2.3,Gasoline,CA,SUV,7,no
ACURA RL,3.5,Gasoline,CA,midsize car,7,no
ACURA TL,3.2,Gasoline,CA,midsize car,7,yes
ACURA TL,3.5,Gasoline,CA,midsize car,7,yes
ACURA TSX,2.4,Gasoline,CA,small car,6,no
ACURA TSX,2.4,Gasoline,CA,small car,6,yes
ASTON MARTIN DB9,5.9,Gasoline,CA,small car,6,no
ASTON MARTIN DB9 Volante,5.9,Gasoline,CA,small car,6,no
ASTON MARTIN V8 Vantage,4.3,Gasoline,CA,small car,6,no
AUDI A3,2.0,Gasoline,CA,station wagon,7,yes
AUDI A3,3.2,Gasoline,CA,station wagon,6,no
AUDI A4,2.0,Gasoline,CA,small car,7,yes
AUDI A4,3.1,Gasoline,CA,small car,6,no
AUDI A4 Avant,3.1,Gasoline,CA,station wagon,6,no
AUDI A4 Cabriolet,3.1,Gasoline,CA,small car,6,no
AUDI A6,3.1,Gasoline,CA,midsize car,6,no
AUDI A6,4.2,Gasoline,CA,midsize car,6,no
AUDI A6 Avant,3.1,Gasoline,CA,station wagon,6,no
AUDI A8,4.2,Gasoline,CA,midsize car,6,no
AUDI A8 L,4.2,Gasoline,CA,large car,6,no
AUDI A8 L,6.0,Gasoline,CA,large car,6,no
AUDI Q7,3.6,Gasoline,CA,SUV,6,no
AUDI Q7,4.2,Gasoline,CA,SUV,6,no
AUDI R8,4.2,Gasoline,CA,small car,6,no
AUDI RS4,4.2,Gasoline,CA,small car,6,no
AUDI RS4 Cabriolet,4.2,Gasoline,CA,small car,6,no
AUDI S4,4.2,Gasoline,CA,small car,6,no
AUDI S4 Avant,4.2,Gasoline,CA,station wagon,6,no
AUDI S4 Cabriolet,4.2,Gasoline,CA,small car,6,no
AUDI S5,4.2,Gasoline,CA,small car,6,no
AUDI S6,5.2,Gasoline,CA,midsize car,6,no
AUDI S8,5.2,Gasoline,CA,midsize car,6,no
AUDI TT Coupe,2.0,Gasoline,CA,small car,7,yes
AUDI TT Coupe,3.2,Gasoline,CA,small car,6,no
AUDI TT Roadster,2.0,Gasoline,CA,small car,7,yes
AUDI TT Roadster,3.2,Gasoline,CA,small car,6,no
BENTLEY Arnage,6.7,Gasoline,CA,large car,6,no
BENTLEY Arnage,6.7,Gasoline,CA,midsize car,6,no
BENTLEY Azure,6.7,Gasoline,CA,small car,6,no
BENTLEY Continental Flying Spur,6.0,Gasoline,CA,midsize car,6,no
BENTLEY Continental GT,6.0,Gasoline,CA,small car,6,no
BENTLEY Continental GTC,6.0,Gasoline,CA,small car,6,no
BMW 328ci,3.0,Gasoline,CA,small car,9.5,yes
BMW 328ci,3.0,Gasoline,CA,small car,7,yes
BMW 328ci Convertible,3.0,Gasoline,CA,small car,9.5,yes
BMW 328ci Convertible,3.0,Gasoline,CA,small car,7,yes
BMW 328cxi,3.0,Gasoline,CA,small car,9.5,yes
BMW 328cxi,3.0,Gasoline,CA,small car,7,yes
BMW 328i,3.0,Gasoline,CA,small car,9.5,yes
BMW 328i,3.0,Gasoline,CA,small car,7,yes
